,Unnamed: 0,assetID,contentFeaturization.orientation,contentFeaturization.peopleCategories,contentFeaturization.foregroundColors,contentFeaturization.backgroundColors,contentFeaturization.tags,overallTone_cool,overallTone_neutral,overallTone_warm,visualContentDensity_high,visualContentDensity_low,visualContentDensity_unknown,visualAttentionSpread_high,visualAttentionSpread_low,visualAttentionSpread_unknown,tags_active_wear,tags_apparel,tags_athlete,tags_back,tags_bed,tags_blonde,tags_bodysuit,tags_boxer,tags_build,tags_business,tags_camera,tags_camisole,tags_chair,tags_checkered,tags_coat,tags_construction,tags_corset,tags_cotton,tags_couch,tags_crop_top,tags_dance,tags_design,tags_dress,tags_fabric,tags_face,tags_flower,tags_gold,tags_hair,tags_hairstyle,tags_hand,tags_hip,tags_holding,tags_illustration,tags_jacket,tags_knee,tags_knit,tags_lace,tags_laying,tags_leg,tags_leggings,tags_leopard_print,tags_lingerie,tags_logo,tags_long_hair,tags_midi_dress,tags_muscular,tags_neck,tags_neoprene,tags_orange,tags_pajamas,tags_posing,tags_robe,tags_satin,tags_shirt,tags_shorts,tags_shoulders,tags_sign,tags_sitting,tags_skin,tags_skirt,tags_spandex,tags_sports_bra,tags_stand,tags_standing,tags_stocking,tags_stomach,tags_strap,tags_stretch,tags_striped,tags_style,tags_sweater,tags_symbol,tags_tan,tags_tank_top,tags_template,tags_text,tags_textile,tags_thigh,tags_torso,tags_underpants,tags_underwear,tags_waist,tags_wear,tags_wearing,tags_yoga,tags_yoga_pants,foregroundColors_beige,foregroundColors_black,foregroundColors_brown,foregroundColors_cream,foregroundColors_cyan,foregroundColors_dark_blue,foregroundColors_dark_brown,foregroundColors_dark_gray,foregroundColors_dark_pink,foregroundColors_dark_red,foregroundColors_gray,foregroundColors_khaki,foregroundColors_lavender,foregroundColors_light_blue,foregroundColors_lilac,foregroundColors_off_white,foregroundColors_olive,foregroundColors_orange,foregroundColors_pink,foregroundColors_plum,foregroundColors_red,foregroundColors_royal_blue,foregroundColors_silver,foregroundColors_violet,foregroundColors_white,backgroundColors_beige,backgroundColors_black,backgroundColors_brown,backgroundColors_cream,backgroundColors_cyan,backgroundColors_dark_blue,backgroundColors_dark_brown,backgroundColors_dark_gray,backgroundColors_dark_pink,backgroundColors_gray,backgroundColors_khaki,backgroundColors_light_blue,backgroundColors_lilac,backgroundColors_off_white,backgroundColors_orange,backgroundColors_pink,backgroundColors_silver,backgroundColors_white
544,544,https://www.maidenform.com/images/catalog/catalog/product/M/F/MFB_FLS105/MFB_FLS105_Black_Front.jpg,portrait,"['person', 'woman']","['orange', 'dark_gray', 'black']",['white'],"['underpants', 'posing', 'waist', 'wear', 'wearing', 'corset', 'underwear', 'sports_bra', 'lingerie']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
545,545,https://www.maidenform.com/images/catalog/catalog/product/M/F/MFB_FLS105/MFB_FLS105_EveningBlush_Front.jpg,portrait,"['person', 'woman']","['dark_pink', 'brown', 'pink']",['white'],"['underpants', 'posing', 'waist', 'wear', 'wearing', 'corset', 'underwear', 'tan', 'lingerie', 'dress']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
546,546,https://www.maidenform.com/images/catalog/catalog/product/M/F/MFB_FLS106/MFB_FLS106_Black_Front.jpg,portrait,"['person', 'woman']","['orange', 'dark_gray', 'black']",['white'],"['posing', 'stand', 'waist', 'wear', 'standing', 'wearing', 'corset', 'underwear', 'lingerie', 'dress']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
547,547,https://www.maidenform.com/images/catalog/catalog/product/M/F/MFB_FLS106/MFB_FLS106_EveningBlush_Front.jpg,portrait,"['person', 'woman']","['orange', 'khaki']",['white'],"['posing', 'waist', 'wear', 'wearing', 'corset', 'underwear', 'lingerie']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
548,548,https://www.maidenform.com/images/catalog/catalog/product/M/F/MFB_FLS107/MFB_FLS107_Black_Front.jpg,portrait,"['person', 'woman']","['orange', 'black']",['white'],"['posing', 'waist', 'wear', 'bodysuit', 'wearing', 'corset', 'underwear', 'lingerie', 'back']",0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
549,549,https://www.maidenform.com/images/catalog/catalog/product/M/F/MFB_FLS107/MFB_FLS107_EveningBlush_Front.jpg,portrait,"['person', 'kid', 'woman']","['orange', 'pink']",['white'],"['waist', 'wear', 'strap', 'wearing', 'corset', 'underwear', 'lingerie']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
550,550,https://www.maidenform.com/images/catalog/catalog/product/M/F/MFB_SE6900/MFB_SE6900_Black_Front.jpg,portrait,"['person', 'woman']","['orange', 'khaki']",['white'],"['posing', 'wear', 'wearing', 'sports_bra', 'underwear', 'lingerie']",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
551,551,https://www.maidenform.com/images/catalog/catalog/product/M/F/MFB_SE6900/MFB_SE6900_ParisNude_Front.jpg,portrait,"['person', 'woman']","['orange', 'brown', 'khaki']","['white', 'off_white']","['posing', 'wear', 'wearing', 'tan', 'underwear', 'lingerie']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
552,552,https://www.maidenform.com/images/swatches/HNS_07959/HNS_07959_White_Front.jpg,portrait,"['person', 'woman']","['orange', 'brown', 'khaki']","['white', 'off_white']","['posing', 'hair', 'wear', 'blonde', 'wearing', 'underwear', 'sports_bra', 'lingerie']",0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
553,553,https://www.maidenform.com/images/swatches/HNS_09404/HNS_09404_SheerPalePinkwDeepMauve_Front.jpg,portrait,"['person', 'woman']","['dark_brown', 'brown', 'khaki']",['white'],"['posing', 'hair', 'wear', 'face', 'wearing', 'underwear', 'lingerie', 'camisole']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
554,554,https://www.maidenform.com/images/swatches/HNS_09436/HNS_09436_Black_Front.jpg,portrait,"['person', 'woman']","['brown', 'khaki']",['white'],"['wear', 'wearing', 'sports_bra', 'underwear', 'lingerie']",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
