,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
2,corset,6.365346612998603,98.68636321485693,0.0799229671815741,0.1246989478702231,-35.90726421785715,-28.976490344433497,0.0401529729394072,14
7,dress,2.881916403605074,90.74586085168707,0.086690254216253,0.1221548572196934,-29.03249515461994,-22.962743695644026,0.032825338417733,10
8,strap,2.790738960597107,90.22111928578504,0.0729401853164001,0.1210904192734391,-39.763867567680144,-35.18173637962123,0.0325230503438317,5
23,stand,0.7501918065297127,61.16096631316707,0.1031253615211003,0.1206410907889655,-14.518875080883491,-8.357692813283801,0.0486666146621019,11
25,waist,0.4944254966861289,51.648400974871045,0.1113977237636016,0.1213523143856943,-8.20304966780769,-1.0064617426224445,0.0555017989564013,27
29,camisole,0.3537594873533481,44.67277851826099,0.1094076802755985,0.1202603889098323,-9.024341874007122,-2.7749130135078435,0.0291990558521068,14
32,face,0.3211226649763797,42.785690764744835,0.1073323951291266,0.1198972666970474,-10.479698089923406,-4.6191142467233774,0.0495381118794069,9
