,Column,H_Statistic,P_Value,F_Regression_Score,F_Regression_P_Value,Distance Correlation,mutual_info_score_reg,pearson_corr,Boost_Factor,Chi2_Score,Chi2_P_Value,t_stat,p_value,WoE,IV,Average CTR 1,Average CTR 0,Standard Deviation CTR 1,Standard Deviation CTR 0,Frequency of 1s,inc_dec_presence,inc_dec_presence_overall
0,contentFeaturization_tags##sports_bra,11.246137418349173,0.0007978888343268031,14.771759894316414,0.00020815916101242672,0.34137628399331893,0.02277713834629269,0.3511873827330361,2.972837317524319,13.652651515151518,0.13522863752301728,3.8434047268426457,0.00020815916101242973,0.34588703298281054,0.03055949655508686,0.1600884333190222,0.10691326858814768,0.09206806912179119,0.04675045255986648,24,49.73673093441414,42.26251590167929
2,contentFeaturization_foregroundColors##khaki,8.581307393053507,0.0033963142646933125,7.224022392123288,0.008366234780378328,0.28260194475728523,0.0,0.2537152817068125,1.308042823278701,5.701988636363636,0.7693341411706963,2.687754153958894,0.008366234780378337,0.1198506174665117,0.00899165136934117,0.13197515486146394,0.09929101817067679,0.07180565164955356,0.042120673760904295,64,32.917515897162616,17.279663357631744
1,contentFeaturization_tags##corset,8.685011940775931,0.00320837476791407,6.365346612998603,0.013136367851430809,0.2838914896797227,0.06052045293527719,-0.23907600611384366,0.0,14.070129870129872,0.11985235012882249,-2.522963854873588,0.01313636785143087,-0.4399368668521705,0.021392433202567642,0.07992296718157417,0.12469894787022315,0.040152972939407235,0.06439225362356374,14,-35.90726421785715,-28.976490344433497
4,contentFeaturization_foregroundColors##brown,6.4361005935710764,0.011182384985331148,4.277799805709135,0.041070503681423086,0.24652104690660412,0.008547940120493092,0.19785373678490245,1.3740725090985888,8.315702479338844,0.502670667102689,2.0682842661754988,0.04107050368142358,0.11123191287072819,0.0066341459599486554,0.13099094368331507,0.10598888057481659,0.06906554324246045,0.054687998716916354,55,23.58932651510528,16.405044526782227
9,contentFeaturization_foregroundColors##orange,3.7962916246097307,0.051366228074686625,4.227742272812779,0.04224848886505254,0.19839922004602537,0.0027240209893251155,-0.19673778329842118,0.6764685588296178,1.546177685950413,0.9967894775531069,-2.0561474346001494,0.04224848886505296,-0.05633449836197267,0.0025545163375823477,0.11306671029817221,0.1455817466438756,0.05275416226242396,0.09666066186946738,88,-22.334555736058174,0.4766824077164741
11,contentFeaturization_tags##wear,2.726682211858724,0.09868409799575333,3.6283046838026607,0.05954090177298093,0.23149618440026368,0.0,0.182759673637961,1.0878283707909353,0.0823327615780446,0.9999999892361896,1.9048109312482038,0.059540901772981526,0.010662891875120394,0.00011309324217528632,0.11996154426861125,0.0,0.06268320831821747,,106,inf,6.603773584905673
3,contentFeaturization_foregroundColors##dark_blue,7.865694304527473,0.005038147727712966,3.504218715334671,0.06399560061761973,0.26397082725815696,0.03143547090543852,0.17971001908240639,7.645567937781544,16.4,0.058984030544419454,1.8719558529342162,0.06399560061762014,0.41857456134917714,0.009575435869414877,0.17010508268956243,0.11632743410808802,0.030574053640979253,0.06365882944560972,5,46.22954936967474,51.16380696196667
5,contentFeaturization_tags##dress,4.9562701881786095,0.02599622082040829,2.881916403605074,0.09254139148312931,0.21318782390598517,0.026160509250318098,-0.1634430143018579,0.0,9.55181818181818,0.3879698606802447,-1.6976208067778478,0.09254139148313013,-0.35127634508314365,0.010079279271634474,0.08669025421625301,0.12215485721969341,0.032825338417733066,0.0650097118011093,10,-29.03249515461994,-22.962743695644026
6,contentFeaturization_tags##strap,4.772580832309402,0.02891644670459651,2.790738960597107,0.09778880714214978,0.2235689661624415,0.0,-0.16090475674354165,0.0,12.509090909090908,0.18610599558889673,-1.670550496272742,0.09778880714214987,-0.2233906333451451,0.002198686560610277,0.07294018531640015,0.12109041927343911,0.032523050343831704,0.06383294525065628,5,-39.763867567680144,-35.18173637962123
12,contentFeaturization_foregroundColors##black,2.498185259396255,0.11397756707712103,2.789373203038217,0.0978698668573965,0.16322199478459576,0.0,-0.16086639852701337,0.4155974994738855,4.20422077922078,0.8974642150002087,-1.6701416715471205,0.09786986685739728,-0.1742048520834051,0.0074292759557297704,0.10177444934453342,0.12488910266868167,0.04347468021110754,0.06838279388748109,28,-18.508142688372995,-9.558180325193197
26,contentFeaturization_tags##underwear,0.5599626904553616,0.45427527553819647,2.728732500539898,0.10154504469902291,0.1653630175291101,0.0,-0.15915295504963886,0.9762033033592931,1.2604105571847506,0.998564755474969,-1.6518875568693858,0.10154504469902145,-0.03778420765833406,0.0012230912552514757,0.11494037716028892,0.14474775832613734,0.05054062339480408,0.11799896167905063,93,-20.592637503019663,2.141715641161548
15,contentFeaturization_tags##active_wear,1.817479635425121,0.17761357575998338,2.4958771244767792,0.11715264783732394,0.19052547129798084,0.0,0.15237569393099437,3.3534467934216785,5.6454545454545455,0.7748109901581207,1.579834524397027,0.11715264783732385,0.30918596820022054,0.0070260758737864535,0.1552149479636542,0.1162941905672721,0.09002804766531242,0.0609918270576254,7,33.46749928481408,37.931695282784155
7,contentFeaturization_tags##leg,4.254033379938014,0.039157226509023944,2.4377068471188883,0.12145832668794208,0.2021779782542564,0.0,0.15063031125920967,1.6276956919984913,5.663311688311689,0.7730849662563662,1.5613157422888193,0.12145832668794215,0.1444640512325694,0.005768900751086451,0.134820443569436,0.11317659838643773,0.059699562437405165,0.06414199988175961,28,19.12395803688682,19.808127917317382
8,contentFeaturization_backgroundColors##brown,3.95998389665351,0.04659414910714721,2.0423903056615362,0.15593746280125254,0.20043811124305425,0.007513030290716705,0.13813110019906172,3.4998530061737405,9.14431818181818,0.4240605118605551,1.4291222150892258,0.15593746280125362,0.26516728161852676,0.005810350629973447,0.149530268083759,0.11636041967477494,0.04474251900693129,0.06425900932827222,8,28.506126483294857,32.880007006230485
17,contentFeaturization_foregroundColors##dark_brown,1.667680608371066,0.19656948604630115,1.8811754427764462,0.17312442531907093,0.14657951055054436,0.03797475437561748,0.13266734553741757,1.0427715059156628,5.93903743315508,0.7460038584460202,1.3715594929774102,0.17312442531906957,0.11234853119847184,0.004185628410004212,0.13111810332986626,0.11312202985284026,0.0779093766397864,0.05515163569670534,34,15.908548936433498,16.518044890796602
13,contentFeaturization_foregroundColors##pink,2.0570170927083296,0.1515064994021829,1.4012723489678576,0.23918363835017642,0.15113603339628237,0.0,0.11475929338583526,1.9116901499665042,9.940909090909091,0.35529013355792655,1.1837535000868449,0.23918363835017872,0.19986384673488708,0.004026579863751941,0.14141420254887382,0.11651321306169128,0.04900745138429254,0.06451614717897702,10,21.37181597935849,25.66766893609161
28,contentFeaturization_tags##wearing,0.41485545583988664,0.5195152988198798,1.2029916247302537,0.2752336619242394,0.14407072846534322,0.0,0.10642972172341454,1.0538337342037185,0.1564502164502164,0.9999998123123558,1.096809748648433,0.2752336619242426,0.008829460482963602,7.676002084586597e-05,0.11976812232657452,0.07013542409123308,0.06295205650100233,0.09918646795261052,105,70.76694677254476,6.431889261133833
16,contentFeaturization_foregroundColors##dark_pink,1.7610819474391888,0.184489620402992,1.1974686539091475,0.2763321637215213,0.1407904233983303,0.0,0.10618789076598428,1.9116404492531514,7.293939393939395,0.6065453105826534,1.094289108923756,0.2763321637215172,0.23999113451023218,0.0035361839455208834,0.14635676214844395,0.11720577346120917,0.0522835374960452,0.06390149039428263,6,24.87163202492128,30.059872351735212
