,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
13,brown,2.042390305661536,84.40625371987474,0.149530268083759,0.1163604196747749,28.506126483294857,32.880007006230485,0.0447425190069312,8
20,off_white,1.0317203121102576,68.79102238483297,0.1247858618852645,0.112312067194078,11.106370849386504,10.890901314403752,0.0541959983012018,56
21,khaki,0.76753151185516,61.70183606310891,0.1377671282820248,0.1173109764264302,17.437542912639035,22.42669799193684,0.0440297606129789,8
45,white,0.0132810782426801,9.152782498837198,0.1190808369303741,0.1167421224688065,2.0033167224559283,5.821133395898379,0.0653708326864247,96
