,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
1,khaki,7.224022392123288,99.16337652196216,0.1319751548614639,0.0992910181706767,32.917515897162616,17.279663357631744,0.0718056516495535,64
3,brown,4.277799805709135,95.8929496318577,0.130990943683315,0.1059888805748165,23.58932651510528,16.405044526782227,0.0690655432424604,55
4,orange,4.227742272812779,95.77515111349474,0.1130667102981722,0.1455817466438756,-22.33455573605817,0.4766824077164741,0.0527541622624239,88
6,dark_blue,3.504218715334671,93.60043993823804,0.1701050826895624,0.116327434108088,46.22954936967474,51.16380696196667,0.0305740536409792,5
14,dark_brown,1.8811754427764464,82.6875574680929,0.1311181033298662,0.1131220298528402,15.908548936433498,16.518044890796602,0.0779093766397864,34
15,pink,1.4012723489678576,76.08163616498236,0.1414142025488738,0.1165132130616912,21.37181597935849,25.66766893609161,0.0490074513842925,10
17,dark_pink,1.1974686539091477,72.36678362784788,0.1463567621484439,0.1172057734612091,24.87163202492128,30.05987235173521,0.0522835374960452,6
26,dark_gray,0.4599541469707749,50.08626995188254,0.1346054560450208,0.1177368550015764,14.3273752668343,19.61707934824416,0.0799962360143291,7
