,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
12,royal_blue,1.8674404588565587,82.77675403401692,0.1787590375164986,0.1314325216287003,36.008223308304736,35.760909600681,0.1235864354514855,9
18,black,1.3841456298175183,76.01808748009238,0.1407240171884176,0.1295060202964994,8.662143170051031,6.874711575900903,0.1081348302772549,152
21,brown,1.1051328572268813,70.64740038588727,0.1361735416786646,0.1277459916161688,6.597115068641507,3.4187929107387984,0.1044034384073057,341
30,dark_gray,0.7102454110174924,60.0333268866566,0.1441746197196803,0.1311310897043872,9.946939390725314,9.495317195750472,0.1250794900340553,48
61,white,0.0385349058434728,15.556681780821147,0.1384400455909875,0.1319766552729928,4.897373936796033,5.140119211357629,0.0939810204830868,10
