,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
8,dark_brown,2.713255352575428,90.00077232204166,0.1202770236954272,0.1357576349023116,-11.403123822850926,-8.654027411359412,0.0835963214551788,158
13,gray,1.864300797441088,82.74069796925181,0.0917700863157703,0.132815785228003,-30.90423238606021,-30.303997126790875,0.0917980488818723,12
14,off_white,1.8146682016497837,82.15898263278862,0.1035942600584593,0.1330958892716109,-22.165695255205957,-21.32397236896128,0.0940037393217758,23
34,khaki,0.5895753668729395,55.71428432120338,0.1296204740154154,0.1359349633883277,-4.645228288231892,-1.558020787731769,0.1029964833872231,406
41,dark_pink,0.4607597704784769,50.249366581297274,0.1177085878003299,0.1325894469345391,-11.22326058238714,-10.604659940007163,0.0986690868274389,23
43,light_blue,0.392697139776787,46.88989004200299,0.111757179982418,0.132384650159974,-15.58146669770981,-15.12453513059578,0.0821213549283544,10
55,pink,0.1186896408876252,26.943053768503066,0.1279157246730495,0.1325329350769664,-3.4838211356562128,-2.852715168369142,0.1063264427459557,66
58,orange,0.0786952030439406,22.08388766952769,0.1314532380349421,0.1341124828687848,-1.9828466202094623,-0.1661039714903503,0.1023870437023194,509
59,red,0.0778588597897006,21.969259128599315,0.123453040114292,0.1322192183203522,-6.630033301831159,-6.241959837478064,0.0926286292787154,11
60,dark_blue,0.0449214029566392,16.778614510890442,0.127945741377136,0.1322489764321264,-3.2538891196628263,-2.8299185864082523,0.0893256923398971,27
69,beige,0.0045032060657215,5.348236663559902,0.1301696536100941,0.132112023821069,-1.4702448382788031,-1.1409390986404797,0.0901405393469448,13
