,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
17,white,1.4198874481490535,76.61510556715474,0.1300169161860642,0.1431505763485694,-9.174716929203946,-1.2569375505478495,0.0989004568777176,560
19,orange,1.16876988088378,71.99521881037944,0.1217870204477475,0.1338979272334617,-9.044879958894294,-7.507240454810924,0.117962170915668,100
62,brown,0.0316798427575589,14.121340329988751,0.129888582990798,0.1323071061550602,-1.82796165266265,-1.354401888929584,0.1114926770670789,64
