,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
7,off_white,3.071270826517438,91.98499209008357,0.1384008553365952,0.1243034226552125,11.341146028203475,5.1103556555805145,0.1058055769016851,366
11,pink,2.20077923709313,86.15830857773975,0.1666788691506032,0.1310546271171871,27.18274266009804,26.586466348647008,0.1630095860937865,19
53,black,0.1706448294455261,32.03268723621786,0.1429691648429751,0.1318221810967682,8.456075945234215,8.579818584783926,0.0945356031236662,15
67,silver,0.0072361114704664,6.776483324602101,0.1339167737953694,0.1320108473223505,1.4437650478561743,1.7048607658228618,0.1003524734497872,22
68,khaki,0.0055263797025821,5.9237394099356795,0.1329789816689649,0.1319757916460175,0.7601318472392256,0.9926421621325175,0.1366338439502646,65
