,Column,H_Statistic,P_Value,F_Regression_Score,F_Regression_P_Value,Distance Correlation,pearson_corr,Boost_Factor,t_stat,p_value,Average CTR 1,Average CTR 0,Standard Deviation CTR 1,Standard Deviation CTR 0,Frequency of 1s,inc_dec_presence,inc_dec_presence_overall
4,contentFeaturization_tags##underwear,3.868411164724617,0.04920307906664041,10.425706383427388,0.0016815768048677655,0.25804217468962976,0.3072682251740115,1.1185419846299922,3.2288862450428812,0.0016815768048679804,0.46137430345519215,0.38427151580921437,0.06636111182386473,0.14698714302305016,89,20.064663779102034,2.176255291944234
1,contentFeaturization_foregroundColors##dark_pink,10.70008020115321,0.0010713089037627612,8.46964310481757,0.004451646231697826,0.3523685916845142,-0.2794334865499493,0.0,-2.910265126207164,0.004451646231697734,0.3580160900830156,0.4573931892972271,0.04345067280789036,0.08265469418354797,6,-21.726842799496396,-20.71352230716819
2,contentFeaturization_foregroundColors##orange,4.893314560043457,0.026960878036632496,6.968398455520865,0.009625523619036604,0.26010513028703275,0.2552341260003384,1.010522911922823,2.6397724249489216,0.009625523619037412,0.46143424429189456,0.4054092329173751,0.07035397074772741,0.1229247176402707,84,13.81937233430935,2.1895298288819265
0,contentFeaturization_foregroundColors##dark_brown,10.921310757198372,0.0009506432437208171,5.5940338986047635,0.019951368293832226,0.33864266456305814,0.23016689357362946,2.266639466993063,2.365171008321541,0.019951368293832587,0.4793977448817167,0.4382277845208005,0.10379449537606406,0.06983665811241392,33,9.3946485857658,6.167738429701661
3,contentFeaturization_tags##active_wear,4.6263547297223955,0.03148438865750291,5.294086854293688,0.023473904993025013,0.23818866767938307,-0.22422990850364574,0.0,-2.300888275056768,0.023473904993024697,0.38242405106258526,0.45664078269046093,0.10648955227259041,0.08057499317517604,7,-16.252760252950143,-15.30811928942833
8,contentFeaturization_tags##lingerie,2.5590274297196562,0.10966603014450987,2.825405226359417,0.09590448141476382,0.18828247990744307,0.16576397680013572,1.1371842071846747,1.6808941746461297,0.09590448141477073,0.45708010946083183,0.41677093431990686,0.08210750845309324,0.09118096900289777,88,9.671781744257691,1.2252602786653775
5,contentFeaturization_foregroundColors##khaki,3.3334022580216023,0.0678863103244904,2.8152782747097613,0.09649354407973153,0.19510826023801855,0.16547478931582807,1.2034128789246301,1.6778791001468738,0.09649354407973502,0.4628996187633023,0.43465770654805985,0.08418155541247567,0.08207936623001845,61,6.497506380257813,2.5140526186592704
12,contentFeaturization_tags##leggings,1.9711619583767452,0.16032458064136226,2.7277905925953942,0.10175256434216345,0.1608119101474088,-0.16295269212935048,0.30458763514851045,-1.6516024317599574,0.10175256434216311,0.4077145280483736,0.45578937592039276,0.10590657249704923,0.08112891976074384,9,-10.547601680039117,-9.70727369919291
7,contentFeaturization_tags##hair,2.855377419778428,0.09106886385608959,2.584439583023559,0.11107154036002971,0.1959884722717168,0.15872394419034017,2.4367167497236997,1.6076192282451545,0.11107154036002956,0.4802397386232631,0.445399135926347,0.08050341495635746,0.08402972282813101,18,7.8223327991991125,6.354206914934099
6,contentFeaturization_tags##face,3.080166754313056,0.07925240011474519,2.158072983671274,0.14496135443378066,0.17285836883738928,0.14534386937182453,4.060776795553149,1.4690381151186183,0.14496135443378022,0.4932377360087304,0.44799937047831967,0.08223711905525281,0.08371747983211493,8,10.097863638091868,9.232751925342363
18,contentFeaturization_tags##sports_bra,1.084415864038962,0.2977117932213528,1.987110098363247,0.16174585446458686,0.16712519392195124,-0.13958486224575709,1.218385795592619,-1.409648927344413,0.16174585446458564,0.4304903591904015,0.45802659092900316,0.11440975200759661,0.07200769418107496,24,-6.011928626840342,-4.663323223784463
13,contentFeaturization_visualContentDensity##high,1.8478250786178045,0.17403656261685002,1.8128015427178483,0.1812164849516456,0.1401085091498576,0.13343628341049138,1.9085795656794404,1.346403187280034,0.18121648495164663,0.48366316532652825,0.4476653614773636,0.05819328263790672,0.0861296380425587,11,8.041230558997565,7.112361233860214
14,contentFeaturization_visualContentDensity##low,1.8478250786178045,0.17403656261685002,1.8128015427177309,0.1812164849516567,0.1401085091498698,-0.13343628341049138,0.9161280315643685,-1.346403187280034,0.18121648495164663,0.4476653614773636,0.48366316532652825,0.0861296380425587,0.05819328263790672,91,-7.442742476546052,-0.8597359733237487
