,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
2,orange,6.968398455520865,99.03744763809634,0.4614342442918945,0.4054092329173751,13.81937233430935,2.1895298288819265,0.0703539707477274,84
3,dark_brown,5.594033898604764,98.00486317061679,0.4793977448817167,0.4382277845208005,9.3946485857658,6.167738429701661,0.103794495376064,33
6,khaki,2.8152782747097613,90.35064559202685,0.4628996187633023,0.4346577065480598,6.497506380257813,2.5140526186592704,0.0841815554124756,61
