,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
0,underwear,10.425706383427388,99.83184231951323,0.4613743034551921,0.3842715158092143,20.064663779102037,2.176255291944234,0.0663611118238647,89
5,lingerie,2.825405226359417,90.40955185852361,0.4570801094608318,0.4167709343199068,9.671781744257691,1.2252602786653777,0.0821075084530932,88
8,hair,2.584439583023559,88.89284596399702,0.4802397386232631,0.445399135926347,7.822332799199112,6.354206914934099,0.0805034149563574,18
9,face,2.158072983671274,85.50386455662193,0.4932377360087304,0.4479993704783196,10.097863638091868,9.232751925342365,0.0822371190552528,8
14,style,1.5262127104406529,78.04237415235946,0.4753337621598971,0.4471221223078317,6.309605014945427,5.2677261555525,0.0699473536005261,16
18,thigh,0.918746375920877,65.98839337249775,0.4809607682417605,0.4493801824772585,7.027587551905482,6.513886606284309,0.0422832447857423,7
21,camisole,0.4559844479927626,49.893491260361245,0.4656820723675088,0.4492987920441678,3.64641094377359,3.1302566154408296,0.0878386271744736,14
23,holding,0.2955379194029659,41.20967203625086,0.4682813910307526,0.450314452377017,3.9898649841007536,3.7059034283034977,0.0851640681404634,7
24,lace,0.2721065658007373,39.692440314118606,0.4588126700936679,0.4489320082733714,2.200926117586998,1.6089542906718823,0.0703984152987706,27
29,underpants,0.1352513368559059,28.61745244736189,0.4550086831502636,0.4488149468643864,1.3800200570746068,0.766520851822507,0.076854552484818,45
35,posing,0.0783892794585361,21.992947274718098,0.452952645961207,0.4476442320719023,1.1858555319108943,0.3111895099044097,0.0859493355585402,75
37,bodysuit,0.0409133574134478,15.988380480612086,0.453888826022989,0.4503243851078698,0.7915274040213003,0.5185165592773562,0.0996002030662148,35
39,shorts,0.0167194339505319,10.2622896859629,0.4541530755959669,0.4510982365412918,0.6772003983206663,0.5770374427057882,0.0306402003112063,15
