,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
1,dark_pink,8.46964310481757,99.55483537683023,0.3580160900830156,0.4573931892972271,-21.7268427994964,-20.71352230716819,0.0434506728078903,6
13,black,1.6934710100915489,80.38657220343086,0.4335500666257888,0.458026545521808,-5.343899635365953,-3.9857184120393385,0.090617874995436,27
19,pink,0.6745673422195848,58.658247149975615,0.4307713013827678,0.4538057576000457,-5.075840451891973,-4.601105581938085,0.0826074257717637,10
25,dark_gray,0.2610613368073378,38.948186515842664,0.4358171832535968,0.4527065518974391,-3.730754187906821,-3.483641279427601,0.0544528688517289,7
40,brown,0.0099616695697093,7.930355555589241,0.4507600926270071,0.4524332856494479,-0.3698209383597714,-0.1743747868903881,0.0866205187921358,54
