,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
24,orange,0.2897587649088952,40.842869287002756,0.3981069093322296,0.4114820125141028,-3.250470925849954,-2.6923017895657204,0.0702923408457671,18
26,brown,0.5239126776610304,52.91327254757658,0.3856471887484754,0.4111195309486911,-6.195848234559971,-5.737782041048853,0.108581937542567,8
28,khaki,0.2364800876976142,37.21759741283444,0.3933279164953464,0.4104658519915107,-4.175240257627758,-3.860412118274392,0.0793282652510371,8
40,off_white,0.161820831706239,31.16558143864596,0.4055970456202626,0.4132462959585176,-1.851014857982616,-0.8615173837047975,0.083703730970111,55
